City,Code1,Code2
Barsac,FR,BA3
Barsac,FR,BSK
Bar-sur-Aube,FR,BFB
Bar-sur-Seine,FR,BNR
Bart,FR,BXD
Bartenheim,FR,BTM
Barville,FR,BA2
Barville-en-Gâtinais,FR,VGT
Barzy-sur-Marne,FR,BMZ
Bas-en-Basset,FR,BBA
Baslieux-sous-Châtillon,FR,XCM
Basly,FR,BQS
Bas-Mauco,FR,TYP
Bassac,FR,BPC
Bassan,FR,4BS
Basse Indre,FR,BAI
Basse-Goulaine,FR,GOB
Basse-Ham,FR,AHA
Bassemberg,FR,BAM
Bassens,FR,BAS
Bassens,FR,BSE
Basse-Terre = GP BBR,FR,
Bassevelle,FR,BV5
Bassing,FR,ASG
Bassoues,FR,XF4
Bassuet,FR,BVF
Bassussarry,FR,YRB
Bastia,FR,BIA
Batilly,FR,BAT
Batilly-en-Gâtinais,FR,L22
Batz-sur-Mer,FR,BMR
Baud,FR,BMX
Baudignécourt,FR,DGG
Baudoncourt,FR,UNC
Baudreville,FR,DVB
Baudricourt,FR,BDR
Baudrières,FR,BUD
Baugé,FR,AGE
Baugy,FR,3BC
Baule,FR,ULX
Baulme-la-Roche,FR,BPX
Baulon,FR,BLJ
Baume-les-Dames,FR,BDA
Baupte,FR,BPE
Baurech,FR,AUH
Bauvin,FR,BQA
Bavans,FR,B2N
Bavay,FR,BWY
Bavent,FR,BBV
Bavilliers,FR,BAV
Bavinchove,FR,BH5
Bax,FR,BAX
Bayard-sur-Marne,FR,BDM
Bayas,FR,BYA
Baye,FR,ZP9
Bayel,FR,BYL
Bayet,FR,BYT
Bayeux,FR,BYX
Bayon,FR,WBY
Bayon,FR,YON
Bayonne,FR,BAY
Bayonville-sur-Mad,FR,B5M
Bazaiges,FR,B36
Bazainville,FR,BZE
Bazancourt,FR,B4Z
Bazancourt,FR,BAZ
Bazas,FR,BZS
Bazeilles,FR,ZBM
Bazemont,FR,XBZ
Bazens,FR,B47
Bazet,FR,ZET
Bazian,FR,WBZ
